Instance,Best dual bound,Best primal bound,Gap (%)
2-150-90-40-2,36243515,40125354,9.6742797583792
2-150-90-40-3,48212427,52795641,8.68104622500937
2-150-90-50-1,41110986,43446358,5.375299812242029
2-150-90-50-2,48727776,52535668,7.248203258784114
2-150-90-50-3,23647048,24845569,4.823882278566449
2-150-120-10-1,72752048,74979811,2.9711504607553674
2-150-120-10-2,55309021,59021054,6.2893370220057365
2-150-120-10-3,49890278,53017336,5.898180172613731
2-150-120-20-1,96978747,99724704,2.753537378260862
2-150-120-20-2,51160049,55382724,7.624534683414996
2-150-120-20-3,50600565,52750809,4.076229428064315
2-150-120-30-1,56458084,59581315,5.241963860649934
2-150-120-30-2,42997340,46091260,6.712595837041557
2-150-120-30-3,41152375,44282381,7.068287497910286
2-150-120-40-1,58167077,59952569,2.9781742964175573
2-150-120-40-2,55581536,61997409,10.34861473001235
2-150-120-40-3,47508342,51540309,7.822939129061101
2-150-120-50-1,38697923,40238674,3.8290302508477314
2-150-120-50-2,53533265,55770479,4.01146635301447
2-150-120-50-3,64478687,73421702,12.180342809269117
2-150-150-10-1,99432840,104886303,5.199404349298121
2-150-150-10-2,68060747,71145084,4.335277754398326
2-150-150-10-3,132924106,145097300,8.389676444702964
2-150-150-20-1,42978207,45423529,5.383381815182176
2-150-150-20-2,47954533,51344056,6.601587922855179
2-150-150-20-3,109318164,116596707,6.2424944814264745
2-150-150-30-1,75528163,78279459,3.5147100339566695
2-150-150-30-2,129813890,148608567,12.64710196687382
2-150-150-30-3,83913023,92001197,8.791379094774165
2-150-150-40-1,101297777,103584585,2.2076721164640434
2-150-150-40-2,102903744,111110909,7.386461935974264
2-150-150-40-3,39911285,44090970,9.479684842497226
2-150-150-50-1,96338029,97787547,1.4823134892625989
2-150-150-50-2,46561093,50170018,7.193389884771417
2-150-150-50-3,60904661,67271452,9.464328196751271
2-150-180-10-1,102189491,103664051,1.4224410350315186
2-150-180-10-2,90407600,93734724,3.549510638128084
2-150-180-10-3,93404508,101550258,8.021397641353111
2-150-180-20-1,114717985,116452418,1.4893920021480378
2-150-180-20-2,72502388,74965668,3.2858774766070242
2-150-180-20-3,55210085,60673613,9.004784336808825
2-150-180-30-1,81830356,84040473,2.6298245608398663
2-150-180-30-2,81937733,88668689,7.591130618836594
2-150-180-30-3,105689981,121911603,13.306052583034278
2-150-180-40-1,71600672,73553206,2.654587211331072
2-150-180-40-2,39390845,43126730,8.662574231804731
2-150-180-40-3,71767578,78689523,8.796526826068064
2-150-180-50-1,68319666,68938834,0.8981410970774428
2-150-180-50-2,63413379,71791392,11.669940875362883
2-150-180-50-3,52233485,58525995,10.751649758368053
5-30-60-10-1,17862726,18234808,2.040504073308591
5-30-60-10-2,13027376,15221035,14.412022572709414
5-30-60-10-3,12250278,14224200,13.877209263086854
5-30-60-20-1,11016996,12258490,10.127625833198051
5-30-60-20-2,8645113,9440962,8.429744765416913
5-30-60-20-3,11789541,13062451,9.744802104903593
5-30-60-30-1,11456082,12200011,6.097773190532374
5-30-60-30-2,7966776,9655774,17.492103688425185
5-30-60-30-3,11816688,13781071,14.254211446991317
5-30-60-40-1,9643732,10370599,7.008920121200324
5-30-60-40-2,15187991,16534604,8.144210771543126
5-30-60-40-3,10157034,11778584,13.766934972828649
5-30-60-50-1,7296339,7864281,7.221791795079547
5-30-60-50-2,13292753,16813324,20.939173003506028
5-30-60-50-3,12989245,15840158,17.998008605722237
5-30-90-10-1,15357695,15882784,3.306026197926004
5-30-90-10-2,15150460,16354957,7.364721289086851
5-30-90-10-3,18078770,19070468,5.200176524246814
5-30-90-20-1,13147313,14501323,9.33714806573166
5-30-90-20-2,12767714,15079132,15.328587878930966
5-30-90-20-3,18803781,21014817,10.521319314843424
5-30-90-30-1,12556139,12847164,2.265285941706663
5-30-90-30-2,21957241,24638595,10.882739052287683
5-30-90-30-3,11401548,14642808,22.135508435267337
5-30-90-40-1,20015797,21607112,7.364774153991515
5-30-90-40-2,11013077,12906424,14.669803192580687
5-30-90-40-3,9681393,11722970,17.415185742179673
5-30-90-50-1,12339772,13814559,10.675599561303406
5-30-90-50-2,15181168,17825825,14.836098749987725
5-30-90-50-3,14431388,16965751,14.938112671817471
5-30-120-10-1,24143128,25203944,4.20892857086177
5-30-120-10-2,21800428,23862192,8.640295912462692
5-30-120-10-3,22145605,25097467,11.76159331138875
5-30-120-20-1,17819489,18602191,4.207579634033431
5-30-120-20-2,19292593,20849689,7.468197727074011
5-30-120-20-3,24370434,27523439,11.4557087143071
5-30-120-30-1,23049943,23894004,3.5325222177078452
5-30-120-30-2,32610317,36849783,11.504724464727511
5-30-120-30-3,19872474,24415365,18.606688861706555
5-30-120-40-1,27126186,28363934,4.3638093361802355
5-30-120-40-2,24420998,27334561,10.658898088760239
5-30-120-40-3,27333782,29809560,8.305315475974817
5-30-120-50-1,16852811,17876303,5.725412016119891
5-30-120-50-2,18177810,20886211,12.96741184889878
5-30-120-50-3,14126134,15659571,9.792330837160224
5-30-150-10-1,20034909,20955503,4.3930894906221045
5-30-150-10-2,22586384,24198740,6.662975014401573
5-30-150-10-3,29925550,32310787,7.382169304635012
5-30-150-20-1,29116667,29514955,1.3494447137053056
5-30-150-20-2,22847323,24547260,6.92515987527732
5-30-150-20-3,25879636,28422993,8.948237787624969
5-30-150-30-1,23431323,24604794,4.769277889503975
5-30-150-30-2,23956396,26569067,9.833506761829458
5-30-150-30-3,37743618,40994878,7.930893220367674
5-30-150-40-1,22047357,23145080,4.742791988621342
5-30-150-40-2,30385190,35124450,13.492766434776915
5-30-150-40-3,30114745,33382870,9.7898263390775
5-30-150-50-1,28913441,29690966,2.618725844083347
5-30-150-50-2,34993775,41212037,15.088460684435468
5-30-150-50-3,30836272,34869179,11.565821495252294
5-30-180-10-1,47378741,48758952,2.830682250922867
5-30-180-10-2,38208626,42233966,9.53104901396189
5-30-180-10-3,30844213,32358995,4.68117752111894
5-30-180-20-1,33087696,34230433,3.3383655999911
5-30-180-20-2,27796402,29270576,5.0363682627905915
5-30-180-20-3,38910514,43134909,9.793448271793038
5-30-180-30-1,33039821,34038481,2.933914706710916
5-30-180-30-2,20564921,23050803,10.78436182895668
5-30-180-30-3,32221001,35215241,8.502682119937788
5-30-180-40-1,24225908,25147014,3.662884189749127
5-30-180-40-2,23596289,26382724,10.561589470442856
5-30-180-40-3,27402154,31179833,12.115776886938423
5-30-180-50-1,40704615,41849520,2.735766144988039
5-30-180-50-2,29259627,32951924,11.205102925097787
5-30-180-50-3,24681236,27794730,11.201742200769715
5-60-60-10-1,18634165,20491508,9.063964448102112
5-60-60-10-2,19056520,20876421,8.717495206673597
5-60-60-10-3,20355078,22533948,9.66927766053246
5-60-60-20-1,26594283,28088469,5.3195708174767375
5-60-60-20-2,20862523,23083702,9.622282422464124
5-60-60-20-3,32537052,36690267,11.31966414962311
5-60-60-30-1,28505433,30456416,6.4058193846577405
5-60-60-30-2,14914688,17217510,13.374884056986168
5-60-60-30-3,20487443,23978349,14.558575321428513
5-60-60-40-1,26411605,30417409,13.169445168719008
5-60-60-40-2,31411421,35359707,11.166059718764076
5-60-60-40-3,34855260,41074419,15.1411977367227
5-60-60-50-1,30245605,32886877,8.03138589292015
5-60-60-50-2,28144961,33775352,16.670117901361913
5-60-60-50-3,14959302,17872739,16.301010158543694
5-60-90-10-1,34543604,37525421,7.946125374582735
5-60-90-10-2,28215430,30371338,7.098495298429064
5-60-90-10-3,24776671,28321853,12.51747899404746
5-60-90-20-1,36792650,38550653,4.56024182002831
5-60-90-20-2,40884014,46207911,11.52161369078122
5-60-90-20-3,45150998,48976683,7.811237441294261
5-60-90-30-1,40463266,42859532,5.5909756550771466
5-60-90-30-2,43025257,47405680,9.24029145874503
5-60-90-30-3,46357901,52207262,11.204113711230445
5-60-90-40-1,40596568,44694216,9.16818408896578
5-60-90-40-2,45702686,51110404,10.580464204509122
5-60-90-40-3,32313938,37263417,13.28240778348373
5-60-90-50-1,47928331,50863411,5.770513503311836
5-60-90-50-2,32021438,36141274,11.399255045630097
5-60-90-50-3,46558163,54871281,15.150216740884904
5-60-120-10-1,47608796,49857565,4.510386738702543
5-60-120-10-2,45168849,50084647,9.814979828049896
5-60-120-10-3,44196555,50439935,12.37785100238531
5-60-120-20-1,48283368,51021563,5.366740724897046
